name,C2A1,C3A1,C4A1,C5A1,C6A1,C9A1,C10A1,C1A1,C7A1,C8A1,C11A1,C12A1,C13A1,C14A1,GeneName,Biotype
ABCB7,3.953641592,5.364474866,5.804503272,5.415768289,3.829138017,5.401587189,2.975971589,5.72972022,5.038758462,4.357028023,4.957221132,4.847636833,5.683527548,5.535464861,ABCB7,protein_coding
ABCB8,19.89700528,11.89399754,12.05362362,9.598386188,8.678408595,13.4634991,17.39977344,7.699043342,8.749553489,11.40869997,12.37044193,10.59834068,9.140712834,10.85276079,ABCB8,protein_coding
ABCB9,4.302223934,3.944378005,2.316167285,2.251458575,2.326512677,2.919885121,2.709183832,1.647798423,2.093314059,3.069507171,1.79801269,1.915678146,1.961710871,2.217667629,ABCB9,protein_coding
ABCC1,9.741071642,12.21833924,12.09957684,9.627481024,8.86015611,9.82897965,7.454822088,9.121738452,10.97009416,9.454636957,10.48065816,8.458943936,7.923326237,12.8233233,ABCC1,protein_coding
ABCC10,5.092934565,3.837474835,6.148762666,3.849969716,4.196803223,5.922506322,5.529560162,2.503882986,3.515226016,6.650432549,6.248757023,4.14147348,3.232238684,5.210107026,ABCC10,protein_coding
ABCC13,3.565033043,2.962024331,4.311689637,5.722214734,6.807994368,3.196791979,3.42565861,2.732103852,5.799515675,4.397181516,4.455148718,3.788783491,2.748037547,3.538062307,ABCC13,protein_coding
ABCC2,0.184306159,0.325009107,0.529353524,0.23231261,0.518582609,0.516984117,0.444108769,0.496652114,0.356557503,0.262849203,0.337772622,0.534011211,0.526838757,0.233560284,ABCC2,protein_coding
ABCC3,9.206698032,5.46613905,6.22963004,7.265723174,4.607228308,7.370638598,6.332462217,6.391548038,8.322288072,5.099420726,8.440408547,6.299744701,5.682830806,7.904604799,ABCC3,protein_coding
ABCC4,1.995908331,3.082337402,3.147407382,3.340637503,2.765067511,2.960015158,2.779539782,3.73314086,4.077556052,2.77355415,2.836113545,2.817198992,3.371313426,1.959599664,ABCC4,protein_coding
ABCC5,19.45528018,17.54455817,15.73752254,20.63906684,14.62826663,14.43290141,11.9824399,23.31727566,20.49322067,11.90332081,12.6375684,12.06120601,9.48381854,21.02959669,ABCC5,protein_coding
ABCC6,3.014011878,3.238136482,3.537953747,2.83722845,4.246523559,3.548115539,3.155171448,2.092809565,3.131617976,4.074312601,3.186706516,2.443834369,2.456841756,4.560192767,ABCC6,protein_coding
ABCC8,2.42100351,1.491168843,0.544261353,1.967759256,2.485149132,1.212937246,2.328587731,0.361189569,2.662751309,0.453294433,0.713161962,0.726310641,0.994315128,2.371744822,ABCC8,protein_coding
ABCC9,2.864740811,2.82018025,2.424324567,1.949041423,2.258006071,5.599045525,2.364231315,2.275935923,3.364507615,3.512232342,6.817578536,1.88420172,1.328360323,3.81829572,ABCC9,protein_coding
ABCD2,67.45866362,69.50151522,62.7353086,56.15573209,47.60980419,75.29470137,50.29486289,53.289302,63.6331489,52.85533819,45.66268572,50.26107443,44.17052041,79.64339824,ABCD2,protein_coding
ABCD3,17.14405724,25.50395852,28.37269523,25.62515791,22.00101741,31.25875748,15.80590344,20.91773662,38.6528113,23.45974564,24.74668212,31.82710407,26.05423057,24.20548874,ABCD3,protein_coding
ABCD4,21.69056397,15.6440992,19.47333386,14.95998954,11.28678868,14.99983968,15.17203342,9.861659247,13.2337775,14.17284156,15.57732751,22.34359724,17.82410723,13.74499482,ABCD4,protein_coding
ABCE1,40.29966207,52.24870443,51.40921195,54.06308575,46.10282375,46.70443014,29.75759446,55.22706696,49.37965396,44.17026131,47.40878616,63.51809401,57.8484391,47.1964943,ABCE1,protein_coding
ABCF2,30.13411569,24.9925003,33.0706693,28.40974685,18.52826089,25.25481555,28.77420207,32.74692784,24.03951764,25.87805334,25.21472831,30.90607017,31.82440494,24.72873958,ABCF2,protein_coding
ABCF3,49.59096969,28.37447512,30.28801642,31.30737519,32.97131772,30.62824559,49.94337103,26.81544066,28.48007005,40.17129138,29.81437221,33.05786867,30.1225775,28.76132356,ABCF3,protein_coding
ABCG1,1.060514188,1.266608527,1.116389146,1.786068779,0.273523418,0.544823228,0.42283625,0.41039821,0.646656933,0.832844619,0.744621588,0.361674755,0.294150215,1.212755902,ABCG1,protein_coding
ABCG2,46.50373398,36.89776418,47.45701629,56.5678923,41.56421438,47.66183903,73.66089111,17.3781031,66.68476717,80.7971734,56.47778673,56.6046113,46.53041331,56.36625082,ABCG2,protein_coding
ABCG4,0.13595835,0.087338093,0.010776558,0.301736403,0,0.077181439,0.125624377,0.009886139,0.033039979,0.137344218,0.097599967,0,0,0.104605837,ABCG4,protein_coding
ABCG5,0.034033864,0.085022646,0.094417712,0.127623651,0.155866555,0.118338031,0.055032259,0.121262956,0.135088991,0.051571173,0.119715705,0.072885791,0.032428575,0.219958414,ABCG5,protein_coding
ABCG8,0,0.014141785,0.062817851,0,0.115223225,0,0,0.043220619,0.032099002,0.057185426,0,0,0,0.015244,ABCG8,protein_coding
ABHD1,17.4980415,10.62752599,10.68849109,7.567762299,11.96739807,12.00091845,21.19892597,9.315081263,9.694450798,13.86543676,10.12391519,13.66569392,10.01891881,14.17930251,ABHD1,protein_coding
